Employee_ID,Employee_Name,Employee_Department,Client_ID,Client_Name,Client_Address,Product_ID,Product_Name,Product_Price,Order_Date,Quantity
2577,Umoxwxc Zzrlgd,Sales,2026,Qysrcn Phizcu Inc.,"328 Elm St, CityA, Mexico",3478,Widget A,73.07,2023-03-22,20
1362,Qqykkxg Isvpepe,Marketing,2047,Jwqhorps Cjgdv Inc.,"530 Oak St, CityA, Canada",3079,Widget L,18.65,2023-05-04,20
6648,Ipjqmepw Vugrexutd,HR,2334,Eorlddvo Uqlut Inc.,"432 Pine St, CityD, Canada",3633,Widget N,23.6,2023-09-24,18
6759,Qqykkxg Isvpepe,HR,2008,Eorlddvo Uqlut Inc.,"432 Pine St, CityD, Canada",3528,Widget G,82.77,2023-11-04,11
7818,Okarj Jfvjxx,IT,2002,Kbjln Tilauwh Inc.,"455 Elm St, CityB, Canada",3775,Widget I,59.34,2023-01-28,6
8701,Qqykkxg Isvpepe,HR,2245,Bpcmhftjj Lswri Inc.,"813 Oak St, CityC, Canada",3149,Widget F,66.89,2023-10-26,20
5585,Dcasrot Wcupzmaph,Finance,2814,Qkaqsbyeg Wgeyb Inc.,"578 Oak St, CityC, USA",3328,Widget F,66.89,2023-07-27,15
5614,Qqykkxg Isvpepe,Sales,2967,Eqwjbrdtf Cdxlxzitk Inc.,"299 Oak St, CityC, Canada",3549,Widget G,82.77,2023-12-20,7
8359,Ipjqmepw Vugrexutd,Sales,2504,Gkyxagg Nydryuh Inc.,"179 Elm St, CityB, Canada",3474,Widget J,15.5,2023-06-08,2
1423,Tfniexxcj Hnzdnqg,HR,2218,Jwqhorps Cjgdv Inc.,"530 Oak St, CityA, Canada",3783,Widget D,35.36,2023-06-07,16
4233,Ccwcgvpu Ufoprmgv,IT,2720,Eorlddvo Uqlut Inc.,"432 Pine St, CityD, Canada",3839,Widget J,15.5,2023-02-07,17
9871,Ghzkof Iiuramq,Sales,2814,Bpcmhftjj Lswri Inc.,"813 Oak St, CityC, Canada",3243,Widget K,21.31,2023-07-03,20
9380,Ccwcgvpu Ufoprmgv,HR,2004,Ujfaia Zryuqayac Inc.,"971 Main St, CityA, USA",3454,Widget E,12.29,2023-09-22,9
3999,Xuwdvrgzs Mjbpgnpuk,Sales,2769,Eqwjbrdtf Cdxlxzitk Inc.,"299 Oak St, CityC, Canada",3279,Widget K,21.31,2023-08-11,11
4465,Tfniexxcj Hnzdnqg,Sales,2348,Zmupmwnaf Qatygvd Inc.,"878 Elm St, CityB, Canada",3202,Widget H,18.67,2023-12-19,19
3022,Ipjqmepw Vugrexutd,Sales,2620,Scjhgmfx Jrkusy Inc.,"485 Oak St, CityD, Mexico",3078,Widget C,98.05,2023-11-03,9
6061,Ccwcgvpu Ufoprmgv,HR,2645,Kbjln Tilauwh Inc.,"455 Elm St, CityB, Canada",3429,Widget N,23.6,2023-03-02,20
7664,Okarj Jfvjxx,Marketing,2823,Ompbc Nqxheosa Inc.,"103 Oak St, CityC, USA",3068,Widget I,59.34,2023-05-11,2
4691,Ccwcgvpu Ufoprmgv,IT,2597,Eorlddvo Uqlut Inc.,"432 Pine St, CityD, Canada",3063,Widget C,98.05,2023-11-15,13
6935,Okarj Jfvjxx,IT,2863,Fquoz Xjrqcuxn Inc.,"553 Pine St, CityC, Canada",3256,Widget J,15.5,2023-05-14,2
6974,Qqykkxg Isvpepe,HR,2769,Kbjln Tilauwh Inc.,"455 Elm St, CityB, Canada",3067,Widget F,66.89,2023-05-23,14
7031,Xuwdvrgzs Mjbpgnpuk,Finance,2926,Agapic Lmxxfxej Inc.,"166 Elm St, CityD, USA",3448,Widget H,18.67,2023-07-22,8
8763,Ipjqmepw Vugrexutd,Sales,2495,Kbjln Tilauwh Inc.,"455 Elm St, CityB, Canada",3815,Widget L,18.65,2023-11-21,19
3841,Dcasrot Wcupzmaph,Sales,2952,Scjhgmfx Jrkusy Inc.,"485 Oak St, CityD, Mexico",3087,Widget H,18.67,2023-03-20,10
3043,Qqykkxg Isvpepe,HR,2304,Sgarfzdo Uasnumtv Inc.,"819 Elm St, CityD, USA",3583,Widget N,23.6,2023-02-15,15
